pair_idx,gamma_n,gamma_n1,g,t0,far,S_on,h_thr,r,H,H_over_halfgap,n_sign_changes
186402,8436201723.823739051819,8436201723.864823341370,4.108428955078e-02,8436201723.844281196594,17.5058196650,4757.0701713452,2.0504312821e-02,0.9981583250,0.3380055043,16.4542460394,0
186950,8436201887.775435447693,8436201887.801680564880,2.624511718750e-02,8436201887.788558006287,22.3605262820,11636.6582439673,1.3109944645e-02,0.9990387585,0.2990707827,22.7905846701,0
187651,8436202097.468313217163,8436202097.508110046387,3.979682922363e-02,8436202097.488211631775,90.0491479712,5141.2314642698,1.9723383512e-02,0.9912037666,0.1490305121,7.4895671355,0
187876,8436202164.430422782898,8436202164.471524238586,4.110145568848e-02,8436202164.450973510742,17.7442458140,4753.3504396724,2.0512334071e-02,0.9981317560,0.3357269656,16.3365000098,0
189070,8436202521.576916694641,8436202521.616009712219,3.909301757812e-02,8436202521.596463203430,35.3044134770,5270.0020034867,1.9480926495e-02,0.9966448078,0.2380129008,12.1767474385,0
189300,8436202590.307026863098,8436202590.343200683594,3.617382049561e-02,8436202590.325113296509,38.5087114969,6152.1679525887,1.8030215034e-02,0.9968654008,0.2278953711,12.6000166978,0
189373,8436202612.138813018799,8436202612.180224418640,4.141139984131e-02,8436202612.159519195557,18.0875651003,4683.0716273280,2.0665675120e-02,0.9980669670,0.3325254916,16.0596112615,0
190585,8436202974.480914115906,8436202974.513563156128,3.264904022217e-02,8436202974.497238159180,27.3153838795,7532.2886428599,1.6294893290e-02,0.9981851337,0.2705897514,16.5756634548,0
190872,8436203060.086337089539,8436203060.119851112366,3.351402282715e-02,8436203060.103094100952,20.6487179323,7143.2209908044,1.6732774363e-02,0.9985536174,0.3112206834,18.5725649805,0
190912,8436203072.033882141113,8436203072.059733390808,2.585124969482e-02,8436203072.046808242798,22.2406353706,11993.1433670019,1.2913634350e-02,0.9990723468,0.2998757884,23.2000999545,0
191191,8436203155.747510910034,8436203155.790535926819,4.302501678467e-02,8436203155.769023895264,26.7207206323,4348.3537904290,2.1446309140e-02,0.9969227553,0.2735841384,12.7174448171,0
191291,8436203185.433407783508,8436203185.474481582642,4.107379913330e-02,8436203185.453945159912,33.8135105383,4775.7991799013,2.0464067965e-02,0.9964536224,0.2432035259,11.8422707920,0
191383,8436203213.024157524109,8436203213.054285049438,3.012752532959e-02,8436203213.039220809937,26.7238763498,8840.5213409872,1.5040977424e-02,0.9984874137,0.2735679846,18.1606674726,0
